Inst,Seed,Alpha,InitialNodes,Feasible,Of
instances\TV\eil22_50.csv,6,0.6,DemandPriority,True,698.76
instances\TV\eil22_50.csv,7,0.6,NoInitialNodes,True,668.65
instances\TV\eil22_50.csv,7,0.6,DistancePriority,True,687.95
instances\TV\eil22_50.csv,7,0.6,DemandPriority,True,674.53
instances\TV\eil22_50.csv,8,0.6,NoInitialNodes,True,759.34
instances\TV\eil22_50.csv,8,0.6,DistancePriority,True,698.11
instances\TV\eil22_50.csv,8,0.6,DemandPriority,True,614.2
instances\TV\eil22_50.csv,9,0.6,NoInitialNodes,True,644.79
instances\TV\eil22_50.csv,9,0.6,DistancePriority,True,728.45
instances\TV\eil22_50.csv,9,0.6,DemandPriority,True,709.55
instances\TV\eil22_50.csv,10,0.6,NoInitialNodes,True,782.09
instances\TV\eil22_50.csv,10,0.6,DistancePriority,True,757.71
instances\TV\eil22_50.csv,10,0.6,DemandPriority,True,734.37
instances\TV\eil22_50.csv,11,0.6,NoInitialNodes,True,726.32
instances\TV\eil22_50.csv,11,0.6,DistancePriority,True,685.99
instances\TV\eil22_50.csv,11,0.6,DemandPriority,True,763.17
instances\TV\eil22_50.csv,12,0.6,NoInitialNodes,True,727.86
instances\TV\eil22_50.csv,12,0.6,DistancePriority,True,754.9
instances\TV\eil22_50.csv,12,0.6,DemandPriority,True,688.21
instances\TV\eil22_50.csv,13,0.6,NoInitialNodes,True,731.51
instances\TV\eil22_50.csv,13,0.6,DistancePriority,True,641.65
